GENESIS-Tabelle: Darmstadt
Einpendelverflechtungen nach Geschlecht - Jahr - regionale;;;;;;
Tiefe: Gemeinden bzw. Gemeindeverbände;;;;;;
Pendlerrechnung der Länder;;;;;;
Stichtag: 30.06.2022;;;;;;
Arbeitsort: Darmstadt, Wissenschaftsstadt;;;;;;
;;Einpendelnde von ...;Einpendelnde von ...;Einpendelnde von ...;Anteil an allen Einpendelnden in den Arbeitsort;Luftlinienentfernung
;;Insgesamt;männlich;weiblich;;
;;Anzahl;Anzahl;Anzahl;Prozent;km
055540008008;Bocholt, Stadt;-;-;-;-;-
055540012012;Borken, Stadt;-;-;-;-;-
055540016016;Gescher, Glockenstadt;-;-;-;-;-
055540020020;Gronau (Westf.), Stadt;-;-;-;-;-
055540024024;Heek;-;-;-;-;-
055540028028;Heiden;-;-;-;-;-
055540032032;Isselburg, Stadt;-;-;-;-;-
055540036036;Legden;-;-;-;-;-
055540040040;Raesfeld;-;-;-;-;-
055540044044;Reken;-;-;-;-;-
055540048048;Rhede, Stadt;-;-;-;-;-
055540052052;Schöppingen;-;-;-;-;-
055540056056;Stadtlohn, Stadt;-;-;-;-;-
055540060060;Südlohn;-;-;-;-;-
055540064064;Velen, Stadt;-;-;-;-;-
055540068068;Vreden, Stadt;-;-;-;-;-
055580004004;Ascheberg;-;-;-;-;-
055580008008;Billerbeck, Stadt;-;-;-;-;-
055580012012;Coesfeld, Stadt;-;-;-;-;-
055580016016;Dülmen, Stadt;20;16;4;0,0;239,1
055580020020;Havixbeck;-;-;-;-;-
055580024024;Lüdinghausen, Stadt;-;-;-;-;-
055580028028;Nordkirchen;-;-;-;-;-
055580032032;Nottuln;-;-;-;-;-
055580036036;Olfen, Stadt;-;-;-;-;-
055580040040;Rosendahl;-;-;-;-;-
055580044044;Senden;-;-;-;-;-
055620004004;Castrop-Rauxel, Stadt;-;-;-;-;-
055620008008;Datteln, Stadt;-;-;-;-;-
055620012012;Dorsten, Stadt;-;-;-;-;-
055620014014;Gladbeck, Stadt;-;-;-;-;-
055620016016;Haltern am See, Stadt;-;-;-;-;-
055620020020;Herten, Stadt;-;-;-;-;-
055620024024;Marl, Stadt;-;-;-;-;-
055620028028;Oer-Erkenschwick, Stadt;-;-;-;-;-
055620032032;Recklinghausen, Stadt;-;-;-;-;-
055620036036;Waltrop, Stadt;-;-;-;-;-
055660004004;Altenberge;-;-;-;-;-
055660008008;Emsdetten, Stadt;-;-;-;-;-
055660012012;Greven, Stadt;-;-;-;-;-
055660016016;Hörstel, Stadt;-;-;-;-;-
055660020020;Hopsten;-;-;-;-;-
055660024024;Horstmar, Stadt der Burgmannshöfe;-;-;-;-;-
055660028028;Ibbenbüren, Stadt;-;-;-;-;-
055660032032;Ladbergen;-;-;-;-;-
055660036036;Laer;-;-;-;-;-
055660040040;Lengerich, Stadt;-;-;-;-;-
055660044044;Lienen;-;-;-;-;-
055660048048;Lotte;-;-;-;-;-
055660052052;Metelen;-;-;-;-;-
055660056056;Mettingen;-;-;-;-;-
055660060060;Neuenkirchen;-;-;-;-;-
055660064064;Nordwalde;-;-;-;-;-
055660068068;Ochtrup, Stadt;-;-;-;-;-
055660072072;Recke;-;-;-;-;-
055660076076;Rheine, Stadt;-;-;-;-;-
055660080080;Saerbeck, NRW-Klimakommune;-;-;-;-;-
055660084084;Steinfurt, Stadt;-;-;-;-;-
055660088088;Tecklenburg, Stadt;-;-;-;-;-
055660092092;Westerkappeln;-;-;-;-;-
055660096096;Wettringen;-;-;-;-;-
055700004004;Ahlen, Stadt;-;-;-;-;-
055700008008;Beckum, Stadt;-;-;-;-;-
055700012012;Beelen;-;-;-;-;-
055700016016;Drensteinfurt, Stadt;-;-;-;-;-
055700020020;Ennigerloh, Stadt;-;-;-;-;-
055700024024;Everswinkel;-;-;-;-;-
055700028028;Oelde, Stadt;-;-;-;-;-
055700032032;Ostbevern;-;-;-;-;-
055700036036;Sassenberg, Stadt;-;-;-;-;-
055700040040;Sendenhorst, Stadt;-;-;-;-;-
055700044044;Telgte, Stadt;-;-;-;-;-
055700048048;Wadersloh;-;-;-;-;-
055700052052;Warendorf, Stadt;-;-;-;-;-
057110000000;Bielefeld, Stadt;28;15;13;0,0;237,0
057540004004;Borgholzhausen, Stadt;-;-;-;-;-
057540008008;Gütersloh, Stadt;x;x;x;x;227,2
057540012012;Halle (Westf.), Stadt;-;-;-;-;-
057540016016;Harsewinkel, Die Mähdrescherstadt;-;-;-;-;-
057540020020;Herzebrock-Clarholz;-;-;-;-;-
057540024024;Langenberg;-;-;-;-;-
057540028028;Rheda-Wiedenbrück, Stadt;-;-;-;-;-
057540032032;Rietberg, Stadt;-;-;-;-;-
057540036036;Schloß Holte-Stukenbrock, Stadt;-;-;-;-;-
057540040040;Steinhagen;-;-;-;-;-
057540044044;Verl, Stadt;-;-;-;-;-
057540048048;Versmold, Stadt;-;-;-;-;-
057540052052;Werther (Westf.), Stadt;-;-;-;-;-
057580004004;Bünde, Stadt;-;-;-;-;-
057580008008;Enger, Widukindstadt;-;-;-;-;-
057580012012;Herford, Hansestadt;-;-;-;-;-
057580016016;Hiddenhausen;-;-;-;-;-
057580020020;Kirchlengern;-;-;-;-;-
057580024024;Löhne, Stadt;-;-;-;-;-
057580028028;Rödinghausen;-;-;-;-;-
057580032032;Spenge, Stadt;-;-;-;-;-
057580036036;Vlotho, Stadt;-;-;-;-;-
057620004004;Bad Driburg, Stadt;-;-;-;-;-
057620008008;Beverungen, Stadt;-;-;-;-;-
057620012012;Borgentreich, Orgelstadt;-;-;-;-;-
057620016016;Brakel, Stadt;-;-;-;-;-
057620020020;Höxter, Stadt;-;-;-;-;-
057620024024;Marienmünster, Stadt;-;-;-;-;-
057620028028;Nieheim, Stadt;-;-;-;-;-
057620032032;Steinheim, Stadt;-;-;-;-;-
057620036036;Warburg, Hansestadt;-;-;-;-;-
057620040040;Willebadessen, Stadt;-;-;-;-;-
057660004004;Augustdorf;-;-;-;-;-
057660008008;Bad Salzuflen, Stadt;x;x;x;x;243,6
057660012012;Barntrup, Stadt;-;-;-;-;-
057660016016;Blomberg, Stadt;-;-;-;-;-
057660020020;Detmold, Stadt;-;-;-;-;-
057660024024;Dörentrup;-;-;-;-;-
057660028028;Extertal;-;-;-;-;-
057660032032;Horn-Bad Meinberg, Stadt;-;-;-;-;-
057660036036;Kalletal;-;-;-;-;-
057660040040;Lage, Stadt;-;-;-;-;-
057660044044;Lemgo, Stadt;-;-;-;-;-
057660048048;Leopoldshöhe;-;-;-;-;-
057660052052;Lügde, Stadt der Osterräder;-;-;-;-;-
057660056056;Oerlinghausen, Stadt;-;-;-;-;-
057660060060;Schieder-Schwalenberg, Stadt;-;-;-;-;-
057660064064;Schlangen;-;-;-;-;-
057700004004;Bad Oeynhausen, Stadt;-;-;-;-;-
057700008008;Espelkamp, Stadt;-;-;-;-;-
057700012012;Hille;-;-;-;-;-
057700016016;Hüllhorst;-;-;-;-;-
057700020020;Lübbecke, Stadt;-;-;-;-;-
057700024024;Minden, Stadt;-;-;-;-;-
057700028028;Petershagen, Stadt;-;-;-;-;-
057700032032;Porta Westfalica, Stadt;-;-;-;-;-
057700036036;Preußisch Oldendorf, Stadt;-;-;-;-;-
057700040040;Rahden, Stadt;-;-;-;-;-
057700044044;Stemwede;-;-;-;-;-
057740004004;Altenbeken;-;-;-;-;-
057740008008;Bad Lippspringe, Stadt;-;-;-;-;-
057740012012;Borchen;-;-;-;-;-
057740016016;Büren, Stadt;-;-;-;-;-
057740020020;Delbrück, Stadt;-;-;-;-;-
057740024024;Hövelhof, Sennegemeinde;-;-;-;-;-
057740028028;Lichtenau, Stadt;-;-;-;-;-
057740032032;Paderborn, Stadt;18;13;5;0,0;205,7
057740036036;Salzkotten, Stadt;-;-;-;-;-
057740040040;Bad Wünnenberg, Stadt;-;-;-;-;-
059110000000;Bochum, Stadt;40;31;9;0,0;203,8
059130000000;Dortmund, Stadt;74;48;26;0,1;200,2
059140000000;Hagen, Stadt der FernUniversität;21;17;4;0,0;182,8
059150000000;Hamm, Stadt;15;8;7;0,0;207,0
059160000000;Herne, Stadt;10;7;3;0,0;210,9
059540004004;Breckerfeld, Hansestadt;-;-;-;-;-
059540008008;Ennepetal, Stadt der Kluterthöhle;-;-;-;-;-
059540012012;Gevelsberg, Stadt;-;-;-;-;-
059540016016;Hattingen, Stadt;-;-;-;-;-
059540020020;Herdecke, Stadt;-;-;-;-;-
059540024024;Schwelm, Stadt;-;-;-;-;-
059540028028;Sprockhövel, Stadt;-;-;-;-;-
059540032032;Wetter (Ruhr), Stadt;-;-;-;-;-
059540036036;Witten, Stadt;x;x;x;x;196,1
059580004004;Arnsberg, Stadt;-;-;-;-;-
059580008008;Bestwig;-;-;-;-;-
059580012012;Brilon, Stadt;-;-;-;-;-
059580016016;Eslohe (Sauerland);-;-;-;-;-
059580020020;Hallenberg, Stadt;-;-;-;-;-
059580024024;Marsberg, Stadt;-;-;-;-;-
059580028028;Medebach, Hansestadt;-;-;-;-;-
059580032032;Meschede, Kreis- und  Hochschulstadt;-;-;-;-;-
059580036036;Olsberg, Stadt;-;-;-;-;-
059580040040;Schmallenberg, Stadt;-;-;-;-;-
059580044044;Sundern (Sauerland), Stadt;-;-;-;-;-
059580048048;Winterberg, Stadt;-;-;-;-;-
059620004004;Altena, Stadt;-;-;-;-;-
059620008008;Balve, Stadt;-;-;-;-;-
059620012012;Halver, Stadt;-;-;-;-;-
059620016016;Hemer, Stadt;-;-;-;-;-
059620020020;Herscheid;-;-;-;-;-
059620024024;Iserlohn, Stadt;-;-;-;-;-
059620028028;Kierspe, Stadt;-;-;-;-;-
059620032032;Lüdenscheid, Stadt;-;-;-;-;-
059620036036;Meinerzhagen, Stadt;-;-;-;-;-
059620040040;Menden (Sauerland), Stadt;-;-;-;-;-
059620044044;Nachrodt-Wiblingwerde;-;-;-;-;-
059620048048;Neuenrade, Stadt;-;-;-;-;-
059620052052;Plettenberg, Stadt;-;-;-;-;-
059620056056;Schalksmühle;-;-;-;-;-
059620060060;Werdohl, Stadt;-;-;-;-;-
059660004004;Attendorn, Hansestadt;-;-;-;-;-
059660008008;Drolshagen, Stadt;-;-;-;-;-
059660012012;Finnentrop;-;-;-;-;-
059660016016;Kirchhundem;-;-;-;-;-
059660020020;Lennestadt, Stadt;-;-;-;-;-
059660024024;Olpe, Stadt;-;-;-;-;-
059660028028;Wenden;-;-;-;-;-
059700004004;Bad Berleburg, Stadt;-;-;-;-;-
059700008008;Burbach;-;-;-;-;-
059700012012;Erndtebrück;-;-;-;-;-
059700016016;Freudenberg, Stadt;-;-;-;-;-
059700020020;Hilchenbach, Stadt;-;-;-;-;-
059700024024;Kreuztal, Stadt;-;-;-;-;-
059700028028;Bad Laasphe, Stadt;-;-;-;-;-
059700032032;Netphen, Stadt;-;-;-;-;-
059700036036;Neunkirchen;-;-;-;-;-
059700040040;Siegen, Universitätsstadt;18;13;5;0,0;120,4
059700044044;Wilnsdorf;-;-;-;-;-
059740004004;Anröchte;-;-;-;-;-
059740008008;Bad Sassendorf;-;-;-;-;-
059740012012;Ense;-;-;-;-;-
059740016016;Erwitte, Stadt;-;-;-;-;-
059740020020;Geseke, Stadt;-;-;-;-;-
059740024024;Lippetal;-;-;-;-;-
059740028028;Lippstadt, Stadt;-;-;-;-;-
059740032032;Möhnesee;-;-;-;-;-
059740036036;Rüthen, Stadt;-;-;-;-;-
059740040040;Soest, Stadt;-;-;-;-;-
059740044044;Warstein, Stadt;-;-;-;-;-
059740048048;Welver;-;-;-;-;-
059740052052;Werl, Stadt;-;-;-;-;-
059740056056;Wickede (Ruhr);-;-;-;-;-
059780004004;Bergkamen, Stadt;-;-;-;-;-
059780008008;Bönen;-;-;-;-;-
059780012012;Fröndenberg/Ruhr, Stadt;-;-;-;-;-
059780016016;Holzwickede;-;-;-;-;-
059780020020;Kamen, Stadt;-;-;-;-;-
059780024024;Lünen, Stadt;-;-;-;-;-
059780028028;Schwerte, Hansestadt an der Ruhr;-;-;-;-;-
059780032032;Selm, Stadt;-;-;-;-;-
059780036036;Unna, Stadt;-;-;-;-;-
059780040040;Werne, Stadt;-;-;-;-;-
064110000000;Darmstadt, Wissenschaftsstadt;-;-;-;-;-
064120000000;Frankfurt am Main, Stadt;5033;2799;2234;5,5;26,3
064130000000;Offenbach am Main, Stadt;684;413;271;0,8;24,7
064140000000;Wiesbaden, Landeshauptstadt;1208;720;488;1,3;36,4
064310001001;Abtsteinach;15;9;6;0,0;39,0
064310002002;Bensheim, Stadt;1843;947;896;2,0;21,2
064310003003;Biblis;182;100;82;0,2;27,6
064310004004;Birkenau;62;35;27;0,1;35,4
064310005005;Bürstadt, Stadt;259;159;100;0,3;30,0
064310006006;Einhausen;232;116;116;0,3;24,4
064310007007;Fürth;183;106;77;0,2;26,7
064310008008;Gorxheimertal;28;18;10;0,0;39,2
064310009009;Grasellenbach;62;39;23;0,1;31,2
064310010010;Groß-Rohrheim;185;97;88;0,2;22,9
064310011011;Heppenheim (Bergstraße), Kreisstadt;858;451;407;0,9;26,4
064310012012;Hirschhorn (Neckar), Stadt;-;-;-;-;-
064310013013;Lampertheim, Stadt;284;164;120;0,3;32,6
064310014014;Lautertal (Odenwald);369;185;184;0,4;18,6
064310015015;Lindenfels, Stadt;179;93;86;0,2;21,8
064310016016;Lorsch, Karolingerstadt;454;229;225;0,5;27,7
064310017017;Mörlenbach;103;60;43;0,1;32,4
064310018018;Neckarsteinach, Stadt;-;-;-;-;-
064310019019;Rimbach;118;75;43;0,1;30,0
064310020020;Viernheim, Stadt;193;109;84;0,2;36,7
064310021021;Wald-Michelbach;51;33;18;0,1;38,7
064310022022;Zwingenberg, Stadt;559;279;280;0,6;18,3
064320001001;Alsbach-Hähnlein;1069;518;551;1,2;16,5
064320002002;Babenhausen, Stadt;809;369;440;0,9;22,1
064320003003;Bickenbach;728;339;389;0,8;14,2
064320004004;Dieburg, Stadt;1646;787;859;1,8;11,5
064320005005;Eppertshausen;335;183;152;0,4;13,9
064320006006;Erzhausen;863;411;452;0,9;8,4
064320007007;Fischbachtal;364;197;167;0,4;17,1
064320008008;Griesheim, Stadt;5116;2457;2659;5,6;8,0
064320009009;Groß-Bieberau, Stadt;515;261;254;0,6;15,2
064320010010;Groß-Umstadt, Stadt;1734;822;912;1,9;20,1
064320011011;Groß-Zimmern;1826;924;902;2,0;10,6
064320012012;Messel;648;309;339;0,7;8,5
064320013013;Modautal;595;281;314;0,7;15,2
064320014014;Mühltal;2473;1144;1329;2,7;8,4
064320015015;Münster (Hessen);1113;562;551;1,2;13,9
064320016016;Ober-Ramstadt, Stadt;2411;1144;1267;2,7;9,4
064320017017;Otzberg;678;354;324;0,7;18,1
064320018018;Pfungstadt, Stadt;3867;1892;1975;4,3;10,6
064320019019;Reinheim, Stadt;2263;1157;1106;2,5;12,9
064320020020;Roßdorf;2288;1131;1157;2,5;7,1
064320021021;Schaafheim;356;178;178;0,4;24,6
064320022022;Seeheim-Jugenheim;2176;1055;1121;2,4;13,7
064320023023;Weiterstadt, Stadt;4068;1975;2093;4,5;6,4
064330001001;Biebesheim am Rhein;440;225;215;0,5;18,6
064330002002;Bischofsheim;134;81;53;0,1;24,5
064330003003;Büttelborn;1117;505;612;1,2;9,9
064330004004;Gernsheim, Schöfferstadt;795;406;389;0,9;18,2
064330005005;Ginsheim-Gustavsburg, Stadt;174;97;77;0,2;25,9
064330006006;Groß-Gerau, Stadt;1261;657;604;1,4;13,9
064330007007;Kelsterbach, Stadt;129;87;42;0,1;21,4
064330008008;Mörfelden-Walldorf, Stadt;705;379;326;0,8;13,3
064330009009;Nauheim;258;133;125;0,3;16,1
064330010010;Raunheim, Stadt;133;84;49;0,1;20,3
064330011011;Riedstadt, Büchnerstadt;2092;1083;1009;2,3;15,0
064330012012;Rüsselsheim am Main, Stadt;823;511;312;0,9;19,1
064330013013;Stockstadt am Rhein;446;218;228;0,5;17,7
064330014014;Trebur;387;204;183;0,4;20,3
064340001001;Bad Homburg v. d. Höhe, Stadt;157;96;61;0,2;39,7
064340002002;Friedrichsdorf, Stadt;66;41;25;0,1;42,5
064340003003;Glashütten;21;14;7;0,0;41,3
064340004004;Grävenwiesbach;-;-;-;-;-
064340005005;Königstein im Taunus, Stadt;56;33;23;0,1;37,5
064340006006;Kronberg im Taunus, Stadt;57;31;26;0,1;35,8
064340007007;Neu-Anspach, Stadt;39;25;14;0,0;47,2
064340008008;Oberursel (Taunus), Stadt;153;102;51;0,2;37,3
064340009009;Schmitten;28;19;9;0,0;45,5
064340010010;Steinbach (Taunus), Stadt;52;31;21;0,1;32,9
064340011011;Usingen, Stadt;22;17;5;0,0;52,7
064340012012;Wehrheim;29;21;8;0,0;47,6
064340013013;Weilrod;11;8;3;0,0;53,6
064350001001;Bad Orb, Stadt;-;-;-;-;-
064350002002;Bad Soden-Salmünster, Stadt;23;17;6;0,0;69,0
064350003003;Biebergemünd;14;.;.;0,0;56,8
064350004004;Birstein;-;-;-;-;-
064350005005;Brachttal;-;-;-;-;-
064350006006;Bruchköbel, Stadt;63;48;15;0,1;38,9
064350007007;Erlensee, Stadt;36;22;14;0,0;38,8
064350008008;Flörsbachtal;-;-;-;-;-
064350009009;Freigericht;37;22;15;0,0;43,9
064350010010;Gelnhausen, Barbarossast., Krst.;49;37;12;0,1;52,2
064350011011;Großkrotzenburg;25;13;12;0,0;31,8
064350012012;Gründau;30;25;5;0,0;52,7
064350013013;Hammersbach;16;11;5;0,0;44,8
064350014014;Hanau, Brüder-Grimm-Stadt;369;231;138;0,4;33,4
064350015015;Hasselroth;-;-;-;-;-
064350016016;Jossgrund;-;-;-;-;-
064350017017;Langenselbold, Stadt;57;28;29;0,1;43,3
064350018018;Linsengericht;30;19;11;0,0;50,8
064350019019;Maintal, Stadt;130;78;52;0,1;32,6
064350020020;Neuberg;18;13;5;0,0;42,3
064350021021;Nidderau, Stadt;63;44;19;0,1;43,6
064350022022;Niederdorfelden;-;-;-;-;-
064350023023;Rodenbach;36;24;12;0,0;39,1
064350024024;Ronneburg;-;-;-;-;-
064350025025;Schlüchtern, Stadt;28;19;9;0,0;82,6
064350026026;Schöneck;27;17;10;0,0;38,4
064350027027;Sinntal;19;14;5;0,0;84,7
064350028028;Steinau an der Straße, Brüder-Grimm-Stadt;40;32;8;0,0;76,0
064350029029;Wächtersbach, Stadt;13;10;3;0,0;61,4
064360001001;Bad Soden am Taunus, Stadt;113;72;41;0,1;32,7
064360002002;Eppstein, Stadt;46;28;18;0,1;37,1
064360003003;Eschborn, Stadt;94;52;42;0,1;30,8
064360004004;Flörsheim am Main, Stadt;154;92;62;0,2;23,9
064360005005;Hattersheim am Main, Stadt;168;104;64;0,2;23,4
064360006006;Hochheim am Main, Stadt;128;77;51;0,1;26,5
064360007007;Hofheim am Taunus, Kreisstadt;208;131;77;0,2;29,9
064360008008;Kelkheim (Taunus), Stadt;133;87;46;0,1;34,2
064360009009;Kriftel;61;36;25;0,1;26,2
064360010010;Liederbach am Taunus;53;37;16;0,1;29,3
064360011011;Schwalbach am Taunus, Stadt;68;39;29;0,1;31,5
064360012012;Sulzbach (Taunus);68;35;33;0,1;29,4
064370001001;Bad König, Stadt;373;218;155;0,4;29,4
064370003003;Brensbach;469;251;218;0,5;20,3
064370004004;Breuberg, Stadt;255;146;109;0,3;27,9
064370005005;Brombachtal;158;90;68;0,2;26,1
064370006006;Erbach, Kreisstadt;284;159;125;0,3;36,9
064370007007;Fränkisch-Crumbach;252;146;106;0,3;19,9
064370009009;Höchst i. Odw.;474;263;211;0,5;24,7
064370010010;Lützelbach;181;105;76;0,2;32,1
064370011011;Michelstadt, Stadt;402;219;183;0,4;34,4
064370012012;Mossautal;67;38;29;0,1;31,9
064370013013;Reichelsheim (Odenwald);401;229;172;0,4;24,3
064370016016;Oberzent, Stadt;94;44;50;0,1;43,4
064380001001;Dietzenbach, Kreisstadt;328;188;140;0,4;16,8
064380002002;Dreieich, Stadt;705;359;346;0,8;14,8
064380003003;Egelsbach;460;243;217;0,5;9,8
064380004004;Hainburg;89;57;32;0,1;28,9
064380005005;Heusenstamm, Stadt;169;103;66;0,2;21,2
064380006006;Langen (Hessen), Stadt;1080;609;471;1,2;12,3
064380007007;Mainhausen;103;60;43;0,1;28,5
064380008008;Mühlheim am Main, Stadt;143;80;63;0,2;28,5
064380009009;Neu-Isenburg, Stadt;418;232;186;0,5;18,2
064380010010;Obertshausen, Stadt;138;86;52;0,2;25,5
064380011011;Rodgau, Stadt;583;308;275;0,6;21,3
064380012012;Rödermark, Stadt;672;359;313;0,7;14,4
064380013013;Seligenstadt, Einhardstadt;171;86;85;0,2;27,0
064390001001;Aarbergen;-;-;-;-;-
064390002002;Bad Schwalbach, Kreisstadt;16;9;7;0,0;52,5
064390003003;Eltville am Rhein, Stadt;60;45;15;0,1;45,7
064390004004;Geisenheim, Hochschulstadt;17;.;.;0,0;54,7
064390005005;Heidenrod;-;-;-;-;-
064390006006;Hohenstein;13;10;3;0,0;53,4
064390007007;Hünstetten;44;28;16;0,0;53,1
064390008008;Idstein, Hochschulstadt;76;54;22;0,1;46,6
064390009009;Kiedrich;12;7;5;0,0;46,9
064390010010;Lorch, Stadt;-;-;-;-;-
064390011011;Niedernhausen;71;40;31;0,1;41,5
064390012012;Oestrich-Winkel, Stadt;20;11;9;0,0;51,9
064390013013;Rüdesheim am Rhein, Stadt;15;8;7;0,0;57,6
064390014014;Schlangenbad;17;11;6;0,0;50,3
064390015015;Taunusstein, Stadt;70;38;32;0,1;46,6
064390016016;Waldems;12;6;6;0,0;47,7
064390017017;Walluf;23;13;10;0,0;41,2
064400001001;Altenstadt;31;17;14;0,0;49,7
064400002002;Bad Nauheim, Stadt;74;41;33;0,1;55,2
064400003003;Bad Vilbel, Stadt;131;69;62;0,1;35,0
064400004004;Büdingen, Stadt;34;21;13;0,0;55,6
064400005005;Butzbach, Friedrich-Ludwig-Weidig-Stadt;49;32;17;0,1;59,8
064400006006;Echzell;-;-;-;-;-
064400007007;Florstadt, Stadt;17;12;5;0,0;51,9
064400008008;Friedberg (Hessen), Kreisstadt;70;49;21;0,1;49,9
064400009009;Gedern, Stadt;20;5;15;0,0;70,9
064400010010;Glauburg;-;-;-;-;-
064400011011;Hirzenhain;-;-;-;-;-
064400012012;Karben, Stadt;64;48;16;0,1;40,0
064400013013;Kefenrod;-;-;-;-;-
064400014014;Limeshain;11;5;6;0,0;48,5
064400015015;Münzenberg, Stadt;10;7;3;0,0;64,5
064400016016;Nidda, Stadt;17;10;7;0,0;66,3
064400017017;Niddatal, Stadt;18;14;4;0,0;46,2
064400018018;Ober-Mörlen;17;14;3;0,0;53,4
064400019019;Ortenberg, Stadt;-;-;-;-;-
064400020020;Ranstadt;-;-;-;-;-
064400021021;Reichelsheim (Wetterau), Stadt;14;9;5;0,0;54,3
064400022022;Rockenberg;-;-;-;-;-
064400023023;Rosbach v. d. Höhe, Stadt;31;23;8;0,0;45,1
064400024024;Wölfersheim;10;.;.;0,0;59,6
064400025025;Wöllstadt;15;9;6;0,0;45,1
065310001001;Allendorf (Lumda), Stadt;-;-;-;-;-
065310002002;Biebertal;-;-;-;-;-
065310003003;Buseck;13;8;5;0,0;82,3
065310004004;Fernwald;-;-;-;-;-
065310005005;Gießen, Universitätsstadt;142;68;74;0,2;77,5
065310006006;Grünberg, Stadt;15;8;7;0,0;83,3
065310007007;Heuchelheim a. d. Lahn;-;-;-;-;-
065310008008;Hungen, Stadt;12;6;6;0,0;67,7
065310009009;Langgöns;20;14;6;0,0;65,7
065310010010;Laubach, Stadt;22;8;14;0,0;77,3
065310011011;Lich, Stadt;19;12;7;0,0;71,0
065310012012;Linden, Stadt;11;8;3;0,0;72,3
065310013013;Lollar, Stadt;-;-;-;-;-
065310014014;Pohlheim, Stadt;15;7;8;0,0;70,7
065310015015;Rabenau;-;-;-;-;-
065310016016;Reiskirchen;-;-;-;-;-
065310017017;Staufenberg, Stadt;-;-;-;-;-
065310018018;Wettenberg;-;-;-;-;-
065320001001;Aßlar, Stadt;10;7;3;0,0;82,9
065320002002;Bischoffen;-;-;-;-;-
065320003003;Braunfels, Stadt;-;-;-;-;-
065320004004;Breitscheid;-;-;-;-;-
065320005005;Dietzhölztal;-;-;-;-;-
065320006006;Dillenburg, Oranienstadt;10;6;4;0,0;99,8
065320007007;Driedorf;-;-;-;-;-
065320008008;Ehringshausen;-;-;-;-;-
065320009009;Eschenburg;-;-;-;-;-
065320010010;Greifenstein;-;-;-;-;-
065320011011;Haiger, Stadt;-;-;-;-;-
065320012012;Herborn, Stadt;21;6;15;0,0;92,7
065320013013;Hohenahr;-;-;-;-;-
065320014014;Hüttenberg;13;9;4;0,0;70,1
065320015015;Lahnau;-;-;-;-;-
065320016016;Leun, Stadt;-;-;-;-;-
065320017017;Mittenaar;-;-;-;-;-
065320018018;Schöffengrund;-;-;-;-;-
065320019019;Siegbach;-;-;-;-;-
065320020020;Sinn;-;-;-;-;-
065320021021;Solms, Stadt;-;-;-;-;-
065320022022;Waldsolms;-;-;-;-;-
065320023023;Wetzlar, Stadt;26;22;4;0,0;76,9
065330001001;Beselich;-;-;-;-;-
065330002002;Brechen;19;6;13;0,0;63,6
065330003003;Bad Camberg, Stadt;38;22;16;0,0;54,1
065330004004;Dornburg;-;-;-;-;-
065330005005;Elbtal;-;-;-;-;-
065330006006;Elz;-;-;-;-;-
065330007007;Hadamar, Stadt;18;12;6;0,0;77,5
065330008008;Hünfelden;28;17;11;0,0;60,9
065330009009;Limburg a. d. Lahn, Kreisstadt;51;35;16;0,1;70,7
065330010010;Löhnberg;-;-;-;-;-
065330011011;Mengerskirchen, Marktflecken;-;-;-;-;-
065330012012;Merenberg, Marktflecken;-;-;-;-;-
065330013013;Runkel, Stadt;12;6;6;0,0;69,9
065330014014;Selters (Taunus);-;-;-;-;-
065330015015;Villmar, Marktflecken;24;13;11;0,0;65,2
065330016016;Waldbrunn (Westerwald);-;-;-;-;-
065330017017;Weilburg, Stadt;12;9;3;0,0;72,7
065330018018;Weilmünster, Marktflecken;-;-;-;-;-
065330019019;Weinbach;-;-;-;-;-
065340001001;Amöneburg, Stadt;-;-;-;-;-
065340002002;Angelburg;-;-;-;-;-
065340003003;Bad Endbach;-;-;-;-;-
065340004004;Biedenkopf, Stadt;-;-;-;-;-
065340005005;Breidenbach;-;-;-;-;-
065340006006;Cölbe;-;-;-;-;-
065340007007;Dautphetal;-;-;-;-;-
065340008008;Ebsdorfergrund;-;-;-;-;-
065340009009;Fronhausen;-;-;-;-;-
065340010010;Gladenbach, Stadt;-;-;-;-;-
065340011011;Kirchhain, Stadt;-;-;-;-;-
065340012012;Lahntal;-;-;-;-;-
065340013013;Lohra;-;-;-;-;-
065340014014;Marburg, Universitätsstadt;78;35;43;0,1;102,9
065340015015;Münchhausen;-;-;-;-;-
065340016016;Neustadt (Hessen), Stadt;-;-;-;-;-
065340017017;Rauschenberg, Stadt;-;-;-;-;-
065340018018;Stadtallendorf, Stadt;x;x;x;x;108,6
065340019019;Steffenberg;-;-;-;-;-
065340020020;Weimar (Lahn);-;-;-;-;-
065340021021;Wetter (Hessen), Stadt;-;-;-;-;-
065340022022;Wohratal;-;-;-;-;-
065350001001;Alsfeld, Stadt;-;-;-;-;-
065350002002;Antrifttal;-;-;-;-;-
065350003003;Feldatal;-;-;-;-;-
065350004004;Freiensteinau;-;-;-;-;-
065350005005;Gemünden (Felda);-;-;-;-;-
065350006006;Grebenau, Stadt;-;-;-;-;-
065350007007;Grebenhain;-;-;-;-;-
065350008008;Herbstein, Stadt;-;-;-;-;-
065350009009;Homberg (Ohm), Stadt;-;-;-;-;-
065350010010;Kirtorf, Stadt;-;-;-;-;-
